date,open,high,low,close,volume
2008-03-20,197.53,196.17,196.17,196.17,4055400
2008-03-21,195.72,191.92,191.92,191.92,5118300
2008-03-24,191.92,178.56,178.56,178.56,5087600
2008-03-25,178.31,166.57,166.57,166.57,5171200
2008-03-26,166.73,175.31,175.31,175.31,8251400
2008-03-27,175.31,175.88,175.88,175.88,689300
2008-03-28,175.88,178.58,178.58,178.58,503400
2008-03-31,178.58,181.43,181.43,181.43,612800
2008-04-01,181.43,184.41,184.41,184.41,408000
2008-04-02,184.41,187.69,187.69,187.69,336500
2008-04-03,187.69,190.32,190.32,190.32,302000
2008-04-04,190.32,193.29,193.29,193.29,425300
2008-04-07,195.09,198.33,198.33,198.33,1435900
2008-04-08,200.43,197.55,197.55,197.55,13072100
2008-04-09,197.55,193.21,193.21,193.21,3633100
2008-04-10,191.11,189.04,189.04,189.04,812600
2008-04-11,185.11,185.62,185.62,185.62,2136300
2008-04-16,182.83,180.95,180.95,180.95,1904600
2008-04-17,179.05,184.74,184.74,184.74,7327400
2008-04-18,184.74,179.77,179.77,179.77,3696800
2008-04-21,179.89,177.33,177.33,177.33,2727300
2008-04-22,176.94,174.26,174.26,174.26,2399400
2008-04-23,171.64,170.4,170.4,170.4,1932900
2008-04-24,168.41,168.07,168.07,168.07,4778600
2008-04-25,167.9,168.95,168.95,168.95,2970600
2008-04-28,168.51,171.11,171.11,171.11,3544500
2008-04-29,172.28,169.11,169.11,169.11,3160700
2008-05-05,169.12,167.05,167.05,167.05,1863600
2008-05-06,165.56,163.89,163.89,163.89,1933800
2008-05-07,161.43,160.61,160.61,160.61,1145600
2008-05-08,160.65,157.42,157.42,157.42,776100
2008-05-09,155.93,154.23,154.23,154.23,1157600
2008-05-12,153.11,151.27,151.27,151.27,538400
2008-05-13,149.84,147.86,147.86,147.86,347800
2008-05-14,147.86,144.85,144.85,144.85,242900
2008-05-15,144.85,142.09,142.09,142.09,775300
2008-05-16,140.92,139.74,139.74,139.74,4311200
2008-05-19,138.8,137.74,137.74,137.74,1283700
2008-05-20,136.19,135.21,135.21,135.21,1099400
2008-05-21,135.25,132.75,132.75,132.75,836500
2008-05-22,132.8,130.35,130.35,130.35,383000
2008-05-23,130.37,127.93,127.93,127.93,575300
2008-05-26,127.91,125.46,125.46,125.46,420400
2008-05-27,125.46,123.17,123.17,123.17,491900
2008-05-28,123.22,121.28,121.28,121.28,2385600
2008-05-29,120.53,120.72,120.72,120.72,3029900
2008-05-30,120.56,119.31,119.31,119.31,2540600
2008-06-02,118.29,117.63,117.63,117.63,1483500
2008-06-03,116.05,115.71,115.71,115.71,1138900
2008-06-04,115.03,113.6,113.6,113.6,797800
2008-06-05,113.68,111.65,111.65,111.65,576900
2008-06-06,111.62,109.86,109.86,109.86,1047000
2008-06-09,109.81,108.46,108.46,108.46,1061600
2008-06-10,108.43,107.76,107.76,107.76,2818600
2008-06-11,106.8,108.54,108.54,108.54,5843200
2008-06-12,109.01,109.47,109.47,109.47,3248000
2008-06-13,109.47,111.09,111.09,111.09,2440300
2008-06-16,111.03,113.81,113.81,113.81,2906000
2008-06-17,113.83,115.95,115.95,115.95,1162300
2008-06-18,115.95,113.94,113.94,113.94,8475000
2008-06-19,113.95,112.6,112.6,112.6,908400
2008-06-20,112.4,110.4,110.4,110.4,1789800
2008-06-23,108.96,110.48,110.48,110.48,6255600
2008-06-24,110.43,109.88,109.88,109.88,3907300
2008-06-25,111.2,112.06,112.06,112.06,4634800
2008-06-26,113.36,111.92,111.92,111.92,8793500
2008-06-27,112.14,112.68,112.68,112.68,5407000
2008-06-30,113.06,112.67,112.67,112.67,4655500
2008-07-01,113.31,114.99,114.99,114.99,3648100
